chest size,height,waist,head,foot length,weight
87.1,160.6,77.4,57.7,23.1,47.3
98.8,175.5,90.5,56,28.2,80.9
100.3,172.9,90,60.7,27.5,73.4
90.4,172.3,75.4,55.4,27.9,64.1
103.6,172.9,92.5,57.7,26.7,74.3
112.7,179,104.7,58.7,27.7,103.5
97.1,181.3,89.2,58.6,27.3,74.9
93.6,168.9,82.2,55.9,25.8,67.8
90.7,176,84,57.5,27.6,70.3
104.2,181.2,89.5,55.6,28,83.3
100.8,178.8,79,62.7,27.3,73.3
89.9,171.5,76.3,55.9,26.1,60.8
102.2,164.3,102,58,23.5,87.3
79.6,180,80.3,59,28.2,54.3
84.8,174.4,71.5,55.3,24.4,55.8
100.1,172.7,104.1,59.2,27.2,69.9
109.7,178.6,104.2,58.3,27.6,89.2
95.7,187.5,87,57.4,21.8,69.3
93.7,180.2,80.5,62.7,26.8,66.8
93.2,166.8,78.6,56.5,26.6,62.5
96.4,176.8,81.3,57.6,26.8,68.8
104.1,180.9,95.2,57.4,26.3,86.1
92,172.8,88.5,60.8,26.6,68.6
102.6,180.7,97.9,59.4,27.7,82.2
86.4,173.4,81.7,56.3,27.3,63.8
88.1,162.8,78.7,55.3,23.6,56.5
109.8,176.6,114.8,58.4,27.5,102.3
101.3,177,89.4,57.5,28.3,77.5
89.3,172.5,83.2,57.7,26,62.4
87.6,175.7,77.7,55.7,27,55.5
100,182.6,93.6,58.4,27.5,86.2
96.1,167.6,90.4,57.2,26.7,69.4
93.9,174,80,56.6,25.2,76.9
107.1,181.3,98.6,60.2,27.3,87.9
108.3,165.1,101.2,61,25.1,84.4
84.6,172.2,71,55.2,25.7,54.1
87.4,171.8,71.4,57,25.6,57
85.3,173.3,68.7,56,25.4,56.4
88.5,165.4,80.8,56.4,25.6,62.2
108.6,177,92.2,57.8,28.1,87.2
96.1,176.6,91.7,60.5,27,73.6
100.6,176.5,88.3,59,26.5,75.9
92.6,167.1,84.8,57.8,26,65.7
115.7,179.4,95.2,62.2,26.6,84.5
86.3,169.2,73.4,58.8,26.8,65.9
87.6,181.1,89.8,57.2,27.8,62.8
84.5,175.7,75.8,58.1,27,62.1
93.8,171,80.8,53.6,25.3,59.5
115,173.1,109.1,59.6,28.1,101.8
96.9,174.2,86.4,57.4,26.3,70.7
120.5,170.6,117.4,61.7,25.6,108.9
95.2,173.1,90.1,58,26,68.4
85.2,172.8,69.7,56.5,26,56.1
98.9,178,94.2,57.8,29.1,75.9
103,181.1,97.7,57.9,28.3,78.9
93.7,184.2,86.9,55.8,27.4,58.8
97.8,166.3,92.5,59.5,25.2,70.8
98,172,81.2,60.6,25.5,71.5
93,169.5,84.7,60.4,25.9,65.8
94.6,183.6,87.9,59,27.7,73.8
81.3,167.1,73,58.3,24.5,50.7
91.9,172,86.2,57.5,26.9,69.9
83,179.7,69.2,57.9,28.5,57.8
91.3,175.7,78.2,56.9,25.4,59.9
104.2,161.9,101.3,60.9,25.1,76.1
91.9,179.3,73.5,57.3,27.8,64.1
88.2,175.7,75.3,57.3,24.7,57
102.2,171.9,86.8,55.4,26.9,79.4
125.6,182.7,120.3,61.6,28.7,119.6
102.8,177.9,88.3,59.2,27.7,79.4
99.1,179.3,89.4,59.3,27.2,74.8
96.3,174.3,82.9,57.2,27.9,67.4
85.3,177.4,76.1,58.4,26,60.6
86.9,185.2,92.2,59.2,27.2,77.3
80.3,165.2,72.1,54.9,24,51.1
100.6,177.8,81.3,57.4,25.1,69.2
95.4,185.4,82.8,57.6,27.8,79.2
92.8,176.8,77.1,57.6,26.2,64.3
95.3,180.3,80.4,57.1,27.3,73.9
94.3,177.1,89.2,59.1,27.9,63.3
96.9,182.8,92.8,59.8,29.2,85.1
89.4,169.1,77.9,57.9,24.2,55.5
92.9,183.1,85.4,60.2,27.5,68.2
93.2,170.8,80.2,56.6,26,62.9
113.5,177,103.6,59.8,25.7,97.2
91.6,169,80.2,57.3,25.6,61.7
87.4,170,76.1,57.9,25.9,58
85.4,165.7,70.9,54,23.3,48.5
93.8,167.6,75.7,58.9,24.4,64
89.2,173.9,76.7,57.9,25,56.1
101,173,97.8,59.3,24.3,87.9
99,186.8,89.9,58,28.2,70.4
124.6,180.6,118.2,62.5,28.8,116.4
91,169.4,79.5,57.5,25.7,64.2
88.8,175.3,87.1,59.3,28.2,68.4
93.2,176.2,73.5,55.8,27,66.5
82.3,175.1,73.2,56.7,25.6,55.9
100.3,176,84.5,59.7,28.9,78
101,185.1,91.1,60,27.4,83
94.7,180.9,88.7,57.7,27.1,73.4
104.9,176.3,98.1,60.3,26.5,79
101.3,186.4,95.9,58,30.6,85.6
125.2,179.6,121.1,60.5,27.6,112.7
99.2,170.3,79.6,57.5,26.3,68.1
129.3,182.3,115.5,60,27.9,111.7
93.5,179.3,77.1,55.7,27.5,67.3
92.8,177.2,90.2,58.9,27.2,74.9
103.9,176.7,89.4,57.3,25.9,71.5
123.6,185.7,111.7,61.7,28.8,115.4
96.4,167.8,87.5,58.6,24.8,64
99.7,180.7,89.5,61,27.4,79.7
100.1,173.7,89.1,60.9,26.3,71.5
122.5,174,117,59.9,27.5,106.8
86.3,180.3,83.7,60.6,26.6,57.2
87.5,170.3,80,56.8,24.9,63.5
95.6,169.8,79.3,56.7,26.2,66.2
106.1,182.6,93.6,60.4,28.7,79.7
106.2,174.7,91.8,60.4,26.9,77.2
92.1,169.9,84,56.4,25.8,67.8
91.1,172.6,79.3,58,26.3,56.7
86.3,171.8,79.6,62.3,26.8,59.6
107.7,182.8,89.5,58.9,28.6,88
107.9,193.8,93.9,62.5,28.2,85.7
92,172.7,81.3,58.2,24.9,64
84.7,160.5,74.7,57.9,23.8,53.8
96,176.1,78.7,57.2,28.5,66.4
84,168.4,73.2,61.2,24.7,53.3
91.7,170.7,76.8,56.2,25.7,57.9
111.9,187.5,106.8,61.3,30.5,114.1
112.2,180.3,98.1,60.6,27.4,87
79.8,173.5,73,55.2,28.2,53.2
97.2,175.5,80.3,57.5,27,63
111.7,170.3,96.8,58.8,26.2,92.8
83.9,178.9,84.8,55.3,27.4,55.2
112.8,177.9,116.2,62.2,29.3,101.7
92.1,172.3,75.9,56.1,26.2,64.2
87.1,177.2,84.3,59.6,24.5,67.9
98.2,175.9,94.2,56.6,26.6,74.7
93.5,169.8,79.5,56.9,25.4,60.8
109.9,180.3,101.8,59.5,27.6,95.4
116.2,180.7,117.5,60.6,28.6,100.7
91.1,175.4,84.5,57.3,27,76.4
100.1,173.3,96,58.1,25.3,76.3
109.7,172.9,99.8,56.2,27.3,85.9
108.3,170.9,105.1,57.2,26.3,84.2
100.7,174.2,89.1,57.4,25.2,71.2
92.4,168.1,81,59.5,24.7,63.6
98.3,175.7,87.5,56.6,28.5,71.5
83.6,165.8,73.5,59,25.6,47.5
90.7,171,70.3,55.8,25.4,53.5
86.2,177.2,73.5,57,27.2,59
100.5,174.3,84,56.7,28.3,77.2
98.5,182.1,91.6,58.5,28.3,83.2
108.1,172.3,95.4,59,25.6,85
124.5,182.5,119.8,60.1,28.6,113.9
92.3,171.2,78.8,56.9,24.8,66.4
98.9,170,84.9,59.7,25.4,79.7
125,185.7,114,62.1,28.6,122.8
97.3,172.9,93.8,62.2,26.1,73.8
85.4,177.5,68.1,55,33.8,53.1
107.6,179.9,100.5,58.8,26.7,90
92.3,171.7,79,55.7,26.4,56
101.1,174.6,95.1,57.8,25.1,82.1
95.9,168.2,78,57.5,26.5,65.1
104.8,175.5,89.4,58.4,27.3,84
86.2,167.5,70.9,55.5,26.7,50.8
